,arab
6887,bone continuation et félicitations pour votre service
6888,merci beaucoup mr walid hethi haja tfarahna barcha ainsi que une autre merci pour votre sincére avis
6889,merci bouceaup wamia vous etes tres serviable et adorable que se soit service eli t3adi comnde et srt service apres vente
6890,merci beaucoup me pour votre sincére avis hethi haja tfarahna barcha w marehbe bik fi kol wa9et
6891,mch bch ta3mloulna black fridays wamia sanastna b dlel zid dalalna
6892,bonjour nchalah prochainement
6893,ena dima nechri men 3andkom franchement service rapide et qualité top
6894,sa7a w far7a 3 3 hethi 7aja tfera7na w nochkrouk 3la thi9tek fina
6895,oui chrit minkom service tayara w qualité behya merci 3ejbouni les valises
6897,j ai efectué 3 achatsmerci pour la qualité de votre service
6899,abi y3inkomcmandit men andkom 2 foismercivraiment bravo
6901,3adit deux comande merci wamia service profesionel bravo top
6902,sa7a w far7a nochkrouk 3la thi9tek fina 3
6903,service ma7leh w libnet yecer gentile wil cmd toucel fi wa9tha merci bq
6904,bnsr me hethi 7aja tfara7na sa7a w far7a w nochkrouk 3la thi9tek fina
6905,service profesionele yatikom saha
6906,hethi 7aja tfara7na nochkrouk 3la thi9tek fina
6907,haja mezyana w qualité tayara khdhit tenue el benti jaha mezyen mer6 beaucoup
6909,un des meileurs services et les meileurs produits merci wamia
6910,sa7a w far7a hethi 7aja tfara7na nochkrouk 3la thi9tek fina
6911,ربي يبارك فيكم ويعطيكم الصحه ثيقه وعند كلمتكم و التوصيل وقت مانا حبيت جاني والكاليتي باهيه برشا ربي يوفقكم
6912,sa7a w far7a w nochkrouk 3la thi9tek fina w marhbe bik fi kol wa9t
6913,شكرا علي المعامله الطيبه والمتابعه وسرعه الخدمات نرجوا ان تواصلوا علي نفس السياق وفي التحسين اكثر وعدم التقهقر الي الوراء دعواتنا لكم بالتوفيق والسداد والي الامام
6914,mara7ba bik hadhi 7aja tfara7na
6915,wi chret m en 3andekom martin w inchalah nzid
6916,ameni antri sa7a w mar7bè
6917,personel très aimable service rapide et surtous bone qualite merci
6918,sa7a w far7a me nochkrouk 3la thi9tek w marhbe bik fi kol wa9t
6919,نشري من عندكم خدمات سريعه و متازه يعطيكم الصحه اما اضغطوا شويه ع الاسعار خاطر بصراحه فمه باجات اخري اسعارها ارفق
6920,sa7a w far7a nochkrouk 3la thi9tek w marhbe bik fi kol wa9t
6921,merci infiniment pour la rapidité de la livraison
6923,le qualité top merci bien les calçons mezyeninservice tayara bone continuation
6924,sa7a w far7a nochkrouk 3la thi9tek fina w marhbe bik fi kol wa9t
6925,شريت من عندكم الاربعه في واحد تعصر تركض ترحي و شريت رحايه فاكيه المنتوج وصلني في اقل من نهارين لحومهو المنتوج ذا جوده و سعره مناسب جدا
6926,sa7a w far7a me hethi 7aja tfara7na w nochkrouk 3la thi9tek fina
6927,اذا تلوجو عالثقه و الامان و تحب تشري حاجه ونتي مطمان و بالك مرتاح نصحك تشري من wamiaكاينك تقضي من بوتيك مقابل باب داركمسرعه في الاستجابه و التفاعل مع الحريف
6928,c est honorable merci me w marahbe bik fi kol wa9t
6929,top top top a7sen site t3amilit m3ah brabi ab9aw haka matetbadlouch
6930,merci beaucoup me ca comte beaucoup votre avis a toute l equipe de wamia nchalah wamia men hasan ela ahsen
6931,oui chret minhom we tayara rabi m3akom
6933,bravo super contente service et qualité top bone continuation
6935,chrit min 3andkom char ili fet yeser tayara abi ybarkilkom
6937,ana 5dhit min wamia barcha marat qualité tayara service rapide merci
6939,ya3tikom 10 sa7a qualité tayara w aswam fil moutanawel bon continuation
6941,produit top et raport qualité prix raisonable alekher
6942,saha w farha me hedhi haja tfarahna equipe wamia lkol 3 marahbe bik f kol wa9et
6943,bon service avec des bones prix merci
6945,bravo yatikom saha rabi ybrklkom nchalah
6946,merci beaucoup me hethi haja tfarahna barcha vraiment saha w farha 3
6947,ya3tikom alf sa7a vraiment kol chy top d top
6949,5thit men 3andkom service tayra w qualité zeda merci beaucoup
6951,oui je viens de recevoir à comande franchement service au topet raport qualité prix un truc de ouf
6952,bonjour saha w farha me hedhi haja tfarah equipe wamia lkol 3 notre but c est la satisfaction de nos clients
6953,service rapide bien embalé qualité tayara mile merci je suis vraiment satisfait
6954,saha w farha madame hedhi haja tfarhana barsha
6955,dima nechri lyoum barka yosletni comande ya3tikom alf saha vraiment
6956,sa7a w far7a hethi 7aja tfara7na w marhbe bik fi kol wa9t d
6957,ya3tikom saha chrit m en 3andkom barcha 7ajet qualité top bravo
6959,service mahleh w très rapide w dima n9oul lsahbty yechriw mn 3andkom bravo
6961,service tayara w kol chay fi wa9tou iji et jai reçu mon produit merci bqc
6963,top qualitè et service bone continuation bravo wamia
6965,5thit harcha 7ajet mn 3andkom sar7a ya3tikom sa7a qualitè yaser tayara w service top
6967,service treées rapide h bravo
6969,vous faites les livraisons à la grande tunis
6970,التوصيل لباب الدار في اقل من 72h حق التوصيل ب 6dtكيف الكومند قيمتها تجاوز 10dt تمتع بتوصيل بلاش
6971,je suis trés satisfaite et heureuse merci
6973,شكرا علي الخدمه الحينيه في الرد علي اسئلتنا انتم ميزون في عملكم جوده المنتوج وسرعه توصيل الطلب كسبتم ثقتي دمتم ميزين سالمين
6975,khdit déjà la valize moyene nheb taw la petite gris
6976,dispo par ici
6977,شريت منكم برشا مرات qualité طياره و service هايل و عندكم برشا احترافيه في العمل برافو واصلوا انشاء اله من حسن الي احسن
6978,merci c est honorable w mar7bè bik a tout moment
6979,ey chrit men 3andkom 7aja tayara w qualité thabel w fi nhar 9a4itek tkoun 3andek bel7a9 7aja tfara7
6981,chrit men 3andkom deux fois je suis très satisfaite w mezelt bech nekhou men 3andkom
6983,les robes yfat9o qualité raw3a w aswem raisonable
6984,saha w far7a merci d avoir pris le temps de laiser un avis on espère toujours mieux satisfaire nos clients
6985,شريت من عندكم عملاول كراتب وتروسات لصغاري الثلاثه وسناء خذيت زوز روب واختي عرفتها بالباج متاعكم خذات بلاك لحق سلعه طياره وتوصيل في الوقت
6987,bravo pour votre travail vous êtes profesionel
6989,ena chriyt men andkom belhak bravou
6991,bravo wamia y3atikoum saha eltwa farhana merci beaucoup
6992,saha w farha hedhi haja tfarahna brcha marahbe bik à t moment
6993,bravo wamia service tayara we n as thi9a we ma 3andekomch gâcha kima barcha fourniseurs
6994,saha w farha 3 nshala dima satisfait mr
6995,service rapideacueil chaleureuxbravo etbone continuation
6997,merci beaucoup vraiment vous êtes au top bone continuation
6999,service tayara vraiment yatikom saha je suis très satisfaite
7000,saha ou far7a hedhi haja etfar7ana barsha nchkrouk 3al thiy9tek fina 3
7001,bjr wsolni coli lyoum ya3tikom sa7a 3ejbetni qualité tayara w service rapide rabi i3awenkom
7002,saha ou far7a hedhi haja etfar7ana barsha u30 nchkrouk a3la thiy9tek fina
7003,merci pour le service rapide et eficace
7004,merci hedhi haja tfarahna barcha marahbe bik à t moment
7005,qualité top top et service très rapide vraiment merci beaucoup
7006,nochkrouk 3la thi9tek fina me hethi 7aja trafa7na w marhbe bik
7007,qualité tayara w service rapide merci
7009,ma7lekom qualité heyla w service rapidebravo et bone continuation
7011,chrit ma3andkom service tayara ya3tikom saha
7013,سلام نحب نشري من عندكم كيفاش
7014,bonsoir oui ahna namlou livraison hata beb edar
7015,احسن wamia وقضتك توصلك لدار قبل lamia
7017,سلعه طياره برشا يعطيكم الصحه
7019,ijbetni qualité yatikom 10 saha
7020,saha ou far7a hedhi haja etfar7ana
7021,oui w satisfaite 3al likher
7023,يعطيكم الف صحه
7025,سرفيس ياسر باهي تعاملت معاكم قبل وبارك اله فيكم
7027,ya3tikom sa7a
7028,saha w farha me hedhi haja tfarahna batrcha marahbe bik à t moment
7029,bravo ya3tikoum sa7a
7030,merci madame et mara7ba bik
7031,ya3tikom es7a
7033,bravo wamia
7034,merci hedhi haja tfarahna marahbe bik à tout moment
7035,merci beaucoup wamia c est édéal
7036,mara7ba bik
7037,cherite m3ndkom service top
7039,hawyej yeser hlowin w aswem hbel
7040,merci beaucoup pour votre sincére avis w marehbe bik fi kol wa9et
7041,معامله روعه يعطيكم الصحه
7043,impecabl
7045,خذيت ميو عجبني برشا يعطيكم الصحه
7047,top w service rapide
7049,شريت مكتب لبنتي بصراحه روعه و خدمات روعه لحظه قضيتك تكون عندك
7050,sa7a w nchalah b nja7
7051,top wyatikm sa7a
7053,انا مش اول مره نشري من وميه صراحه عسل توصيل بلاش وسرعه وجوده يعطيكم الصحه 1010تستاهل
7054,y3aychek me hedhi haja tfara7na w nchalah dima nos clients ferhanin heki aham haja benseba el wamia marahbe bik
7055,كي عاده كومند توصل في وقتها وسلعتهم ذات جوده عليه شكرا
7056,saha w farha me hedhi haja tfarahna barcha
7057,شريت من عندكم كوموند توصل فالوقت والسرفيس طياره وان شاء اله نزيد نعدي
7059,عندكم des éléments de rangement plastique بربي
7060,dzl me wfew alina pour le moment tfa9adna periode o5ra njibou nchalh w marhbé bik
7061,bravo w inchalh dima il9odem
7063,خذيت فاليزات طياره وسرفيس سريع ماشاء اله
7065,ye5i mafamch des soldes isirou
7066,tfa9adna 36al page kif na3emlou nhabtou marahbe bik
7067,معامله باهيه وجوده عاليه وصلتني فيسع مابطتش يعطيكم الصحه
7069,bone continuation
7073,يعطيكم الصحه سلعه باهيه والتوصيل في الوقت وحتي قبل
7075,شريت من عندكم valizete محلاهمربي يباركلكم ان شاء اله
7077,يعطيكم الصحه كليتي طياره رب يباركلكم
7079,يعطيكم الصحه انا شريت ومازلت باش نشري service طياره واخلاق عاليه شكرا wamia
7081,chrit mn 3andkom w ya3tikom sa7a
7083,a chaque fois service tayara mreci
7084,saha w farha me w marhbé ik f kol wa9t
7085,une page honêteje la recomande
7087,خدمه متازه بارك اله لكم
7089,top service merci
7091,يعطيكم الصحه حاجه طياره وسوم معقول وتوصيل في الوقت
7093,top
7094,merci saha w farha me
7095,اليوم اول مره توصلني كومند من عندكم يعطيكم الصحه
7097,برافو wama وصلتني الميكسار بصراحه روعه يعطيكم الصحه ويرحم والديكم
7098,saha ou far7a hedhi haja etfar7ana barsha 3 3 3
7099,كانت لي تجبه مؤخرا مع wamia وجدت لديهم السرعه وقمه في الثقهبالتوفيق نشاله مع الشكر
7101,يرحم والديكم ناس تخدم بضمير ربي يعاونكم
7103,qualité raw3a w service wamia
7105,comande bien reçu merci bcp
7107,ya3tikom sa7a bravo
7109,chrit men 3andkom ya3tikom sa7a
7111,بصراحه يعطيكم الف صحه او ربي اباركلكم
7113,vous êtes sérieux et honête merci
7115,يعطيكم الصحه في السلعه و السرفيسبالتوفيق ان شاء اله
7117,bien servi et a temps satisfaite
7118,bnsr hethi 7aja tfera7na nochkrouk 3la thi9tek fina
7120,merci bien me marhbe bik fi kol wa9t
7121,يعطيكم الصحه مازالت باش انزيد نشري
7122,hethi 7aja tfara7na marhbe bik fi kol wa9t
7123,service tayara
7124,bnsr me hethi 7aja tfara7na w nochkrouk 3la thi9tek fina 3
7125,rabi ibarkelkoum chrit 3 valize yhablou
7126,sa7a w far7a 3
7127,انا ديمه نشري من عندكم ما شاء اله
7128,hethi 7aja tfara7na marhbe bik
7129,ya3tikim saha top
7131,service top de top et très rapide
7132,nochkrouk 3la thi9tek fina marhbe bik fi kol wa9t
7133,يعطيكم الصحه service profetionel
7134,nochkrouk 3la thi9tek fina w marhbe bik a t moment
7135,top top min a7sen les qualités
7137,authorwamiasa7a w far7a nochkrouk 3la thi9tek w marhbe bik fi kol wa9t
7138,nadia nadiamachlh 3likom
7139,authorwamiamerci beuacoup me hedhi haja tfarahna barcha marahbe bik fi kol wa9t
7140,ayari moazbravos à tous
7141,authorwamiamerci beaucoup mr marahbe bik
7142,mansar olfaواله عندكم كلمه وعندكم بارش حجات حلوه
7143,authorwamianochkrouk 3la thi9tek fina w marhbe bik fi kol wa9t
7144,amou laya3tikoum sa7a
7145,authorwamia y3aychek me hedhi haja tfarahna barcha 3 w marahbe bik fi kol wa9et
7146,dadou doudiشريت من عندكم مره ومندمتش مشاء اله المعاملتكم لكليوناتكم متازه وهذا من حسن اخلاقكم u206u2069
7147,authorwamiabonjour y3aychek me hedhi haja tfarahna barcha 3 w marahbe bik fi kol wa9et
7148,فا تنvs êtes parmi les meileurs
7149,authorwamiasa7a w far7a hedhi 7aja tfara7na barcha
7150,naw es derouichetop de top vraiment
7151,authorwamiasaha w farha 3
7152,amna marzoukبصراحه يعطيكم الصحه خدمه طياره كاليتي باهيه و قضيه فيسع ما توصل ربي يباركلكم من حسن لاحسن يا ربي
7153,authorwamiasaha w farha me w marhbé bik
7154,ml mervirement tyra 3l5er mrc bcp
7155,authorwamiasaha w farha mr hedhi haja tfarahna equipe wamia lkol 3 marahbe bik f kol wa9et
7156,ibtisem bensaida ep benjalelya3tikom alf sa7a
7157,authorwamiasaha w farha me hedhi haja tfarahna equipe wamia lkol 3 marahbe bik f kol wa9et
7158,marwa guizanivraiment vous êtes les meileurs
7159,authorwamiasaha w farha merci bq marhbe bik a t moment
7160,wafa brahimsuper service
7162,mohsni amelشريت من عندكم عجانه نحب وحده اخري
7163,authorwamiasa7a w far7a me oui dispo el ajanet
7164,nedra wajabsaraha service raw3a bravo
7166,ишрак ашабиje sui satisfaite merci wamia
